time,where,behavior,
592,out,fast,
593,out,fast,
594,out,fast,
595,out,distraction,
596,out,distraction,
597,out,distraction,
598,out,distraction,
599,out,distraction,
600,out,fast,
601,out,fast,
602,out,fast,
603,out,fast,
604,out,fast,
605,out,fast,
606,out,fast,
607,out,fast,
608,out,fast,
609,out,fast,
610,out,fast,
611,out,fast,
612,out,fast,
613,out,fast,
614,out,fast,
615,out,fast,
616,out,fast,
617,out,fast,
618,out,fast,
619,out,fast,
620,out,fast,
621,out,fast,
622,out,fast,
623,out,fast,
624,out,stop,
625,out,out_of_dite,
626,out,out_of_dite,
627,out,out_of_dite,
628,out,out_of_dite,
629,out,out_of_dite,
630,out,out_of_dite,
631,out,out_of_dite,
632,out,out_of_dite,
633,out,out_of_dite,
634,out,out_of_dite,
635,out,out_of_dite,
636,out,out_of_dite,
637,out,out_of_dite,
638,out,out_of_dite,
639,out,out_of_dite,
640,out,out_of_dite,
641,out,out_of_dite,
642,out,out_of_dite,
643,out,out_of_dite,
644,out,out_of_dite,
645,out,out_of_dite,
646,out,out_of_dite,
647,out,out_of_dite,
648,out,fast,
649,out,fast,
650,out,fast,
651,out,fast,
652,out,fast,
653,out,fast,
654,out,fast,
655,out,fast,
656,out,fast,
657,out,fast,
658,out,fast,
659,out,fast,
660,out,fast,
661,out,fast,
662,out,fast,
663,out,fast,
664,out,fast,
665,out,fast,
666,out,fast,
667,in,fast,
668,in,fast,
669,in,fast,
670,in,fast,
671,in,fast,
672,in,fast,
673,in,fast,
674,in,fast,
675,in,fast,
676,in,fast,
677,in,fast,
678,in,stop,
679,in,stop,
680,in,stop,
681,in,stop,
682,in,stop,
683,in,stop,
684,in,stop,
685,in,stop,
686,in,stop,
687,in,stop,
688,out,fast,
689,out,fast,
690,out,fast,
691,out,fast,
692,out,fast,
693,out,fast,
694,out,stop,
695,out,stop,
696,out,stop,
697,out,stop,
698,out,stop,
699,out,stop,
700,out,stop,
701,out,stop,
702,out,fast,
703,out,fast,
704,out,fast,
705,out,fast,
706,out,fast,
707,out,fast,
708,out,fast,
709,out,fast,
710,out,fast,
711,out,fast,
712,out,fast,
713,out,fast,
714,out,fast,
715,out,fast,
716,out,fast,
717,out,fast,
718,out,fast,
719,out,stop,
720,out,back_to_op,
721,out,back_to_op,
722,out,back_to_op,
723,out,back_to_op,
724,out,back_to_op,
725,out,back_to_op,
726,out,back_to_op,
727,out,back_to_op,
728,out,back_to_op,
729,out,back_to_op,
730,out,back_to_op,
731,out,back_to_op,
732,out,fast,
733,out,fast,
734,out,fast,
735,out,fast,
736,out,fast,
737,out,fast,
738,in,fast,
739,in,fast,
740,in,stop,
741,in,stop,
742,in,stop,
743,in,fast,
744,in,fast,
745,in,fast,
746,in,fast,
747,in,fast,
748,in,fast,
749,in,fast,
750,in,fast,
751,in,fast,
752,in,fast,
753,in,fast,
754,in,stop,
755,in,fast,
756,in,fast,
757,in,fast,
758,in,fast,
759,in,fast,
760,in,fast,
761,in,fast,
762,in,fast,
763,in,fast,
764,in,fast,
765,in,fast,
766,in,fast,
767,in,fast,
768,in,fast,
769,in,fast,
770,in,focus,
771,in,focus,
772,in,focus,
773,in,fast,
774,in,fast,
775,in,fast,
776,in,fast,
777,in,fast,
778,in,fast,
779,in,fast,
780,in,fast,
781,in,fast,
782,in,focus,
783,in,fast,
784,in,fast,
785,in,fast,
786,in,fast,
787,in,fast,
788,in,focus,
789,in,focus,
790,in,focus,
791,in,focus,
792,in,fast,
793,in,fast,
794,in,fast,
795,in,fast,
796,in,fast,
797,in,stop,
798,in,stop,
799,in,stop,
800,in,stop,
801,in,stop,
802,in,stop,
803,in,stop,
804,in,stop,
805,in,stop,
806,in,stop,
807,in,stop,
808,in,stop,
809,in,stop,
810,in,stop,
811,in,stop,
812,in,stop,
813,in,stop,
814,in,fast,
815,in,fast,
816,in,fast,
817,in,fast,
818,in,fast,
819,in,fast,
820,in,fast,
821,in,fast,
822,in,fast,
823,in,fast,
824,in,fast,
825,in,fast,
826,in,fast,
827,in,fast,
828,in,fast,
829,in,fast,
830,in,fast,
831,in,fast,
832,in,fast,
833,in,fast,
834,in,fast,
835,in,stop,
836,in,stop,
837,in,stop,
838,in,stop,
839,in,stop,
840,in,stop,
841,in,stop,
842,in,stop,
843,in,stop,
844,in,stop,
845,in,stop,
846,in,back_to_op,
847,in,back_to_op,
848,in,back_to_op,
849,in,back_to_op,
850,in,back_to_op,
851,in,back_to_op,
852,in,back_to_op,
853,in,back_to_op,
854,in,back_to_op,
855,in,back_to_op,
856,in,back_to_op,
857,in,back_to_op,
858,in,back_to_op,
859,in,back_to_op,
860,in,back_to_op,
861,in,back_to_op,
862,in,back_to_op,
863,in,back_to_op,
864,out,back_to_op,
865,out,back_to_op,
866,out,back_to_op,
867,out,back_to_op,
868,out,back_to_op,
869,out,back_to_op,
870,out,back_to_op,
871,out,back_to_op,
872,out,with_op,
873,out,with_op,
874,out,with_op,
875,out,with_op,
876,out,with_op,
877,out,with_op,
878,out,with_op,
879,out,with_op,
880,out,with_op,
881,out,with_op,
882,out,with_op,
883,out,with_op,
884,out,with_op,
885,out,with_op,
886,out,with_op,
887,out,with_op,
888,out,with_op,
889,out,with_op,
890,out,with_op,
891,out,with_op,
892,out,fast,
893,out,fast,
894,out,fast,
895,out,fast,
896,out,fast,
897,out,fast,
898,out,fast,
899,out,fast,
900,out,fast,
901,out,fast,
902,out,fast,
903,out,fast,
904,out,fast,
905,out,back_to_op,
906,out,back_to_op,
907,out,back_to_op,
908,out,back_to_op,
909,out,back_to_op,
910,out,back_to_op,
911,out,with_op,
912,out,with_op,
913,out,with_op,
914,out,with_op,
915,out,with_op,
916,out,with_op,
917,out,with_op,
918,out,with_op,
919,out,with_op,
920,out,with_op,
921,out,with_op,
922,out,with_op,
923,out,with_op,
924,out,with_op,
925,out,fast,
926,out,fast,
927,out,fast,
928,out,fast,
929,out,fast,
930,out,fast,
931,out,fast,
932,out,fast,
933,out,fast,
934,out,fast,
935,out,fast,
936,out,fast,
937,out,focus,
938,out,focus,
939,out,focus,
940,out,fast,
941,out,fast,
942,out,fast,
943,out,fast,
944,out,stop,
945,out,fast,
946,out,fast,
947,out,fast,
948,out,fast,
949,out,fast,
950,out,fast,
951,out,fast,
952,out,fast,
953,out,fast,
954,out,fast,
955,out,fast,
956,out,fast,
957,out,fast,
958,out,fast,
959,out,fast,
960,out,fast,
961,out,fast,
962,out,fast,
963,out,fast,
964,out,fast,
965,out,fast,
966,out,fast,
967,out,fast,
968,out,fast,
969,out,fast,
970,out,fast,
971,out,stop,
972,out,fast,
973,in,fast,
974,in,fast,
975,in,fast,
976,in,fast,
977,in,fast,
978,in,stop,
979,in,fast,
980,in,fast,
981,in,fast,
982,in,fast,
983,in,fast,
984,in,fast,
985,in,fast,
986,in,fast,
987,in,fast,
988,in,stop,
989,in,stop,
990,in,stop,
991,in,stop,
992,in,stop,
993,in,fast,
994,in,fast,
995,in,fast,
996,in,fast,
997,in,fast,
998,in,fast,
999,in,stop,
1000,in,fast,
1001,in,fast,
1002,in,fast,
1003,in,fast,
1004,in,fast,
1005,in,fast,
1006,in,fast,
1007,in,fast,
1008,in,fast,
1009,in,fast,
1010,in,fast,
1011,in,stop,
1012,in,fast,
1013,in,fast,
1014,in,fast,
1015,in,fast,
1016,in,fast,
1017,in,fast,
1018,in,fast,
1019,in,fast,
1020,in,fast,
1021,in,fast,
1022,in,fast,
1023,in,fast,
1024,in,stop,
1025,in,fast,
1026,in,fast,
1027,in,fast,
1028,in,fast,
1029,in,fast,
1030,in,fast,
1031,in,fast,
1032,in,fast,
1033,in,fast,
1034,in,fast,
1035,in,fast,
