date,site,run,dog,sess,handler,speed,temperature,humidity,radiation,ground
22.08.2022,acre1,7,hugo,1,Uriel,0.786,34.14,53.93,649.05,45.97
22.08.2022,acre1,7,hugo,2,Uriel,0.992,34.06,54.46,617.83,45.16
22.08.2022,acre1,8,chuck,1,Uriel,0.783,33.78,55.14,549.59,44.79
22.08.2022,acre1,8,chuck,2,Uriel,0.666,33.2,55.87,392.32,43.16
23.10.2022,hadasa1,1,choco,1,Uriel,1.847,27.97,44.43,587.34,36.84
23.10.2022,hadasa2,1,choco,2,Uriel,1.847,27.97,44.43,587.34,36.84
23.10.2022,hadasa2,2,hugo,1,Uriel,1.832,28.24,43.81,601.99,37.38
23.10.2022,hadasa1,2,hugo,2,Uriel,1.23,28.62,42.83,611.26,38.28
23.10.2022,hadasa1,3,freddy,1,Uriel,1.777,28.52,42.67,630.2,38.72
23.10.2022,hadasa2,3,freddy,2,Uriel,1.777,28.52,42.67,630.2,38.72
23.10.2022,hadasa2,4,black,1,Uriel,1.741,28.79,42.34,644.66,39.77
23.10.2022,hadasa1,4,black,2,Uriel,1.741,28.79,42.34,644.66,39.77
23.10.2022,hadasa1,5,chuck,1,Uriel,2.465,28.91,41.67,673.54,39.88
23.10.2022,hadasa2,5,chuck,2,Uriel,3.307,28.88,41.09,683.33,39.78
23.10.2022,hadasa2,6,gibor,1,Uriel,2.874,29.03,40.55,689.34,40.57
23.10.2022,hadasa1,6,gibor,2,Uriel,2.874,29.03,40.55,689.34,40.57
23.10.2022,hadasa2,7,choco,1,Uriel,2.845,29.32,39.54,697.81,40.96
23.10.2022,hadasa1,7,choco,2,Uriel,2.845,29.32,39.54,697.81,40.96
23.10.2022,hadasa1,8,hugo,1,Uriel,1.461,29.81,38.36,715.26,42.66
23.10.2022,hadasa2,8,hugo,2,Uriel,1.461,29.81,38.36,715.26,42.66
23.10.2022,hadasa2,9,freddy,1,Uriel,1.744,29.87,43.84,664.85,42.35
23.10.2022,hadasa1,9,freddy,2,Uriel,3.87,27.44,55.56,710.67,38.03
